date,likes,CA,TX,NY,CA_new,TX_new,NY_new
3/11/21,29305733,3615174,2713387,1720456,3560,6153,7169
3/12/21,29369899,3617479,2718585,1728900,2305,5198,8444
3/13/21,29419456,3621217,2721431,1734933,3738,2846,6033
3/14/21,29457445,3623465,2724143,1741620,2248,2712,6687
3/15/21,29514609,3626427,2728799,1748739,2962,4656,7119
3/16/21,29569140,3628489,2734622,1755450,2062,5823,6711
3/17/21,29628071,3631857,2739163,1762032,3368,4541,6582
3/18/21,29688541,3635429,2742559,1767547,3572,3396,5515
3/19/21,29749164,3638641,2746452,1772624,3212,3893,5077
3/20/21,29803589,3640830,2748905,1779291,2189,2453,6667
3/21/21,29837782,3642778,2751212,1783026,1948,2307,3735
3/22/21,29892498,3645684,2754620,1787934,2906,3408,4908
3/23/21,29949244,3648181,2758973,1794735,2497,4353,6801
3/24/21,30029147,3650958,2762762,1814919,2777,3789,20184
3/25/21,30098263,3653449,2768120,1823602,2491,5358,8683
3/26/21,30172762,3656822,2772019,1831605,3373,3899,8003
3/27/21,30233462,3658932,2775092,1840338,2110,3073,8733
3/28/21,30277977,3661102,2778062,1849190,2170,2970,8852
3/29/21,30348716,3664161,2782555,1858162,3059,4493,8972
3/30/21,30410950,3666541,2785961,1863912,2380,3406,5750
3/31/21,30478886,3669048,2790030,1871595,2507,4069,7683
4/1/21,30556079,3671690,2793685,1880768,2642,3655,9173
4/2/21,30624668,3675457,2795691,1888823,3767,2006,8055
4/3/21,30688804,3678343,2797366,1896534,2886,1675,7711
4/4/21,30725627,3679968,2798366,1904141,1625,1000,7607
4/5/21,30802221,3683077,2803306,1910858,3109,4940,6717
4/6/21,30864193,3685338,2807504,1916964,2261,4198,6106
4/7/21,30937283,3687758,2811415,1923414,2420,3911,6450
4/8/21,31017741,3690309,2815899,1932145,2551,4484,8731
4/9/21,31099323,3693923,2819137,1940703,3614,3238,8558
4/10/21,31164081,3696900,2821570,1948232,2977,2433,7529
4/11/21,31212058,3700795,2823018,1954809,3895,1448,6577
4/12/21,31283990,3704295,2828568,1960567,3500,5550,5758
4/13/21,31361311,3706904,2833381,1965610,2609,4813,5043
4/14/21,31437061,3709392,2836974,1971610,2488,3593,6000
4/15/21,31510755,3711717,2840297,1978594,2325,3323,6984
4/16/21,31589109,3714542,2843308,1984884,2825,3011,6290
4/17/21,31642983,3716759,2845113,1991271,2217,1805,6387
4/18/21,31684382,3718367,2846552,1996876,1608,1439,5605
4/19/21,31754642,3720922,2851247,2002053,2555,4695,5177
4/20/21,31815666,3723405,2855946,2006712,2483,4699,4659
4/21/21,31878161,3725355,2860001,2010967,1950,4055,4255
4/22/21,31944402,3727911,2863676,2016244,2556,3675,5277
4/23/21,32008186,3730175,2866290,2021094,2264,2614,4850
4/24/21,32058654,3730549,2868275,2025257,374,1985,4163
